,time,power in kW
2020-05-01,00:15:00,54.828
2020-05-01,00:30:00,57.048
2020-05-01,00:45:00,52.004
2020-05-01,01:00:00,65.604
2020-05-01,01:15:00,58.692
2020-05-01,01:30:00,58.932
2020-05-01,01:45:00,53.28
2020-05-01,02:00:00,55.216
2020-05-01,02:15:00,49.736
2020-05-01,02:30:00,47.668
2020-05-01,02:45:00,38.96
2020-05-01,03:00:00,38.696
2020-05-01,03:15:00,32.676
2020-05-01,03:30:00,35.804
2020-05-01,03:45:00,33.86
2020-05-01,04:00:00,37.852
2020-05-01,04:15:00,38.336
2020-05-01,04:30:00,35.912
2020-05-01,04:45:00,36.296
2020-05-01,05:00:00,43.172
2020-05-01,05:15:00,41.28
2020-05-01,05:30:00,36.792
2020-05-01,05:45:00,37.288
2020-05-01,06:00:00,42.46
2020-05-01,06:15:00,39.692
2020-05-01,06:30:00,43.24
2020-05-01,06:45:00,56.308
2020-05-01,07:00:00,40.032
2020-05-01,07:15:00,42.64
2020-05-01,07:30:00,31.104
2020-05-01,07:45:00,42.412
2020-05-01,08:00:00,32.704
2020-05-01,08:15:00,47.716
2020-05-01,08:30:00,28.188
2020-05-01,08:45:00,57.396
2020-05-01,09:00:00,65.888
2020-05-01,09:15:00,63.996
2020-05-01,09:30:00,85.768
2020-05-01,09:45:00,109.796
2020-05-01,10:00:00,136.488
2020-05-01,10:15:00,129.276
2020-05-01,10:30:00,123.608
2020-05-01,10:45:00,124.668
2020-05-01,11:00:00,153.764
2020-05-01,11:15:00,123.428
2020-05-01,11:30:00,147.356
2020-05-01,11:45:00,155.604
2020-05-01,12:00:00,152.724
2020-05-01,12:15:00,144.32
2020-05-01,12:30:00,132.008
2020-05-01,12:45:00,138.34
2020-05-01,13:00:00,82.288
2020-05-01,13:15:00,120.12
2020-05-01,13:30:00,134.004
2020-05-01,13:45:00,111.18
2020-05-01,14:00:00,111.944
2020-05-01,14:15:00,102.424
2020-05-01,14:30:00,110.528
2020-05-01,14:45:00,136.332
2020-05-01,15:00:00,153.136
2020-05-01,15:15:00,138.132
2020-05-01,15:30:00,113.008
2020-05-01,15:45:00,94.944
2020-05-01,16:00:00,92.268
2020-05-01,16:15:00,68.708
2020-05-01,16:30:00,60.684
2020-05-01,16:45:00,89.616
2020-05-01,17:00:00,103.128
2020-05-01,17:15:00,83.484
2020-05-01,17:30:00,91.636
2020-05-01,17:45:00,86.108
2020-05-01,18:00:00,50.352
2020-05-01,18:15:00,71.608
2020-05-01,18:30:00,59.18
2020-05-01,18:45:00,52.24
2020-05-01,19:00:00,68.284
2020-05-01,19:15:00,84.6
2020-05-01,19:30:00,70.524
2020-05-01,19:45:00,47.7
2020-05-01,20:00:00,41.048
2020-05-01,20:15:00,78.464
2020-05-01,20:30:00,34.784
2020-05-01,20:45:00,30.316
2020-05-01,21:00:00,60.816
2020-05-01,21:15:00,57.48
2020-05-01,21:30:00,21.112
2020-05-01,21:45:00,48.512
2020-05-01,22:00:00,46.26
2020-05-01,22:15:00,11.18
2020-05-01,22:30:00,36.888
2020-05-01,22:45:00,40.416
2020-05-01,23:00:00,41.788
2020-05-01,23:15:00,41.696
2020-05-01,23:30:00,48.276
2020-05-01,23:45:00,48.112
2020-05-01,00:00:00,51.94
2020-05-02,00:15:00,48.476
2020-05-02,00:30:00,44.732
2020-05-02,00:45:00,49.38
2020-05-02,01:00:00,47.92
2020-05-02,01:15:00,40.996
2020-05-02,01:30:00,48.14
2020-05-02,01:45:00,43.164
2020-05-02,02:00:00,41.372
2020-05-02,02:15:00,39.612
2020-05-02,02:30:00,36.388
2020-05-02,02:45:00,39.72
2020-05-02,03:00:00,41.816
2020-05-02,03:15:00,38.396
2020-05-02,03:30:00,41.82
2020-05-02,03:45:00,39.376
2020-05-02,04:00:00,40.888
2020-05-02,04:15:00,45.82
2020-05-02,04:30:00,29.34
2020-05-02,04:45:00,45.744
2020-05-02,05:00:00,48.736
2020-05-02,05:15:00,40.368
2020-05-02,05:30:00,45.72
2020-05-02,05:45:00,48.292
2020-05-02,06:00:00,46.98
2020-05-02,06:15:00,44.28
2020-05-02,06:30:00,53.968
2020-05-02,06:45:00,54.236
2020-05-02,07:00:00,21.972
2020-05-02,07:15:00,39.308
2020-05-02,07:30:00,9.376
2020-05-02,07:45:00,35.004
2020-05-02,08:00:00,71.412
2020-05-02,08:15:00,23.628
2020-05-02,08:30:00,63.1
2020-05-02,08:45:00,89.944
2020-05-02,09:00:00,83.868
2020-05-02,09:15:00,114.096
2020-05-02,09:30:00,113.38
2020-05-02,09:45:00,95.5
2020-05-02,10:00:00,98.908
2020-05-02,10:15:00,133.008
2020-05-02,10:30:00,160.264
2020-05-02,10:45:00,103.936
2020-05-02,11:00:00,133.436
2020-05-02,11:15:00,137.164
2020-05-02,11:30:00,173.16
2020-05-02,11:45:00,152.656
2020-05-02,12:00:00,151.796
2020-05-02,12:15:00,131.016
2020-05-02,12:30:00,122.032
2020-05-02,12:45:00,162.536
2020-05-02,13:00:00,153.664
2020-05-02,13:15:00,154.552
2020-05-02,13:30:00,163.008
2020-05-02,13:45:00,130.348
2020-05-02,14:00:00,84.688
2020-05-02,14:15:00,67.104
2020-05-02,14:30:00,81.632
2020-05-02,14:45:00,122.584
2020-05-02,15:00:00,90.956
2020-05-02,15:15:00,115.648
2020-05-02,15:30:00,78.5
2020-05-02,15:45:00,89.696
2020-05-02,16:00:00,98.8
2020-05-02,16:15:00,96.292
2020-05-02,16:30:00,93.192
2020-05-02,16:45:00,109.86
2020-05-02,17:00:00,129.788
2020-05-02,17:15:00,129.156
2020-05-02,17:30:00,133.396
2020-05-02,17:45:00,152.76
2020-05-02,18:00:00,143.708
2020-05-02,18:15:00,145.972
2020-05-02,18:30:00,140.152
2020-05-02,18:45:00,124.036
2020-05-02,19:00:00,85.02
2020-05-02,19:15:00,123.9
2020-05-02,19:30:00,110.648
2020-05-02,19:45:00,92.328
2020-05-02,20:00:00,86.096
2020-05-02,20:15:00,68.184
2020-05-02,20:30:00,85.928
2020-05-02,20:45:00,91.076
2020-05-02,21:00:00,104.34
2020-05-02,21:15:00,91.612
2020-05-02,21:30:00,72.416
2020-05-02,21:45:00,84.856
2020-05-02,22:00:00,78.352
2020-05-02,22:15:00,86.332
2020-05-02,22:30:00,69.504
2020-05-02,22:45:00,60.84
2020-05-02,23:00:00,60.288
2020-05-02,23:15:00,52.996
2020-05-02,23:30:00,46.148
2020-05-02,23:45:00,46.192
2020-05-02,00:00:00,50.672
2020-05-03,00:15:00,61.792
2020-05-03,00:30:00,63.864
2020-05-03,00:45:00,53.688
2020-05-03,01:00:00,55.532
2020-05-03,01:15:00,54.756
2020-05-03,01:30:00,55.052
2020-05-03,01:45:00,51.696
2020-05-03,02:00:00,47.92
2020-05-03,02:15:00,47.676
2020-05-03,02:30:00,50.72
2020-05-03,02:45:00,52.3
2020-05-03,03:00:00,49.46
2020-05-03,03:15:00,46.508
2020-05-03,03:30:00,46.42
2020-05-03,03:45:00,42.0
2020-05-03,04:00:00,47.216
2020-05-03,04:15:00,45.968
2020-05-03,04:30:00,36.616
2020-05-03,04:45:00,47.636
2020-05-03,05:00:00,49.348
2020-05-03,05:15:00,43.608
2020-05-03,05:30:00,44.44
2020-05-03,05:45:00,45.248
2020-05-03,06:00:00,40.776
2020-05-03,06:15:00,44.656
2020-05-03,06:30:00,31.484
2020-05-03,06:45:00,26.92
2020-05-03,07:00:00,25.9
2020-05-03,07:15:00,11.484
2020-05-03,07:30:00,18.772
2020-05-03,07:45:00,36.508
2020-05-03,08:00:00,17.792
2020-05-03,08:15:00,32.304
2020-05-03,08:30:00,38.452
2020-05-03,08:45:00,56.216
2020-05-03,09:00:00,65.328
2020-05-03,09:15:00,74.552
2020-05-03,09:30:00,85.752
2020-05-03,09:45:00,54.916
2020-05-03,10:00:00,87.384
2020-05-03,10:15:00,108.452
2020-05-03,10:30:00,86.828
2020-05-03,10:45:00,108.272
2020-05-03,11:00:00,175.996
2020-05-03,11:15:00,179.364
2020-05-03,11:30:00,155.08
2020-05-03,11:45:00,157.216
2020-05-03,12:00:00,125.436
2020-05-03,12:15:00,120.028
2020-05-03,12:30:00,114.448
2020-05-03,12:45:00,118.052
2020-05-03,13:00:00,112.364
2020-05-03,13:15:00,93.684
2020-05-03,13:30:00,109.748
2020-05-03,13:45:00,109.424
2020-05-03,14:00:00,119.416
2020-05-03,14:15:00,139.192
2020-05-03,14:30:00,132.668
2020-05-03,14:45:00,123.624
2020-05-03,15:00:00,134.592
2020-05-03,15:15:00,136.708
2020-05-03,15:30:00,126.016
2020-05-03,15:45:00,101.932
2020-05-03,16:00:00,115.644
2020-05-03,16:15:00,101.676
2020-05-03,16:30:00,116.46
2020-05-03,16:45:00,145.78
2020-05-03,17:00:00,129.8
2020-05-03,17:15:00,120.412
2020-05-03,17:30:00,125.528
2020-05-03,17:45:00,133.312
2020-05-03,18:00:00,143.104
2020-05-03,18:15:00,151.104
2020-05-03,18:30:00,148.552
2020-05-03,18:45:00,112.448
2020-05-03,19:00:00,108.652
2020-05-03,19:15:00,108.96
2020-05-03,19:30:00,114.16
2020-05-03,19:45:00,84.392
2020-05-03,20:00:00,88.032
2020-05-03,20:15:00,81.28
2020-05-03,20:30:00,101.432
2020-05-03,20:45:00,87.204
2020-05-03,21:00:00,83.744
2020-05-03,21:15:00,55.04
2020-05-03,21:30:00,84.34
2020-05-03,21:45:00,57.996
2020-05-03,22:00:00,26.976
2020-05-03,22:15:00,35.028
2020-05-03,22:30:00,46.776
2020-05-03,22:45:00,40.364
2020-05-03,23:00:00,41.36
2020-05-03,23:15:00,26.552
2020-05-03,23:30:00,41.392
2020-05-03,23:45:00,48.068
2020-05-03,00:00:00,61.232
2020-05-04,00:15:00,70.912
2020-05-04,00:30:00,57.064
2020-05-04,00:45:00,67.584
2020-05-04,01:00:00,77.528
2020-05-04,01:15:00,76.832
2020-05-04,01:30:00,74.584
2020-05-04,01:45:00,69.988
2020-05-04,02:00:00,65.468
2020-05-04,02:15:00,73.076
2020-05-04,02:30:00,72.396
2020-05-04,02:45:00,73.388
2020-05-04,03:00:00,68.888
2020-05-04,03:15:00,71.46
2020-05-04,03:30:00,71.012
2020-05-04,03:45:00,73.54
2020-05-04,04:00:00,75.356
2020-05-04,04:15:00,72.86
2020-05-04,04:30:00,82.704
2020-05-04,04:45:00,82.388
2020-05-04,05:00:00,82.7
2020-05-04,05:15:00,78.216
2020-05-04,05:30:00,83.672
2020-05-04,05:45:00,72.82
2020-05-04,06:00:00,108.904
2020-05-04,06:15:00,102.3
2020-05-04,06:30:00,72.928
2020-05-04,06:45:00,101.696
2020-05-04,07:00:00,96.34
2020-05-04,07:15:00,88.648
2020-05-04,07:30:00,111.26
2020-05-04,07:45:00,111.648
2020-05-04,08:00:00,135.648
2020-05-04,08:15:00,102.144
2020-05-04,08:30:00,133.884
2020-05-04,08:45:00,160.484
2020-05-04,09:00:00,148.852
2020-05-04,09:15:00,152.988
2020-05-04,09:30:00,169.772
2020-05-04,09:45:00,193.884
2020-05-04,10:00:00,199.628
2020-05-04,10:15:00,194.388
2020-05-04,10:30:00,186.888
2020-05-04,10:45:00,219.004
2020-05-04,11:00:00,224.672
2020-05-04,11:15:00,221.036
2020-05-04,11:30:00,216.816
2020-05-04,11:45:00,212.152
2020-05-04,12:00:00,206.552
2020-05-04,12:15:00,182.124
2020-05-04,12:30:00,177.208
2020-05-04,12:45:00,182.488
2020-05-04,13:00:00,187.208
2020-05-04,13:15:00,165.588
2020-05-04,13:30:00,200.208
2020-05-04,13:45:00,187.892
2020-05-04,14:00:00,190.788
2020-05-04,14:15:00,175.628
2020-05-04,14:30:00,186.124
2020-05-04,14:45:00,181.872
2020-05-04,15:00:00,176.016
2020-05-04,15:15:00,172.748
2020-05-04,15:30:00,157.872
2020-05-04,15:45:00,161.448
2020-05-04,16:00:00,138.396
2020-05-04,16:15:00,156.568
2020-05-04,16:30:00,155.096
2020-05-04,16:45:00,152.628
2020-05-04,17:00:00,140.38
2020-05-04,17:15:00,150.396
2020-05-04,17:30:00,154.556
2020-05-04,17:45:00,154.988
2020-05-04,18:00:00,150.188
2020-05-04,18:15:00,125.312
2020-05-04,18:30:00,125.28
2020-05-04,18:45:00,123.5
2020-05-04,19:00:00,100.66
2020-05-04,19:15:00,49.752
2020-05-04,19:30:00,60.268
2020-05-04,19:45:00,46.3
2020-05-04,20:00:00,36.868
2020-05-04,20:15:00,48.312
2020-05-04,20:30:00,35.572
2020-05-04,20:45:00,39.464
2020-05-04,21:00:00,53.22
2020-05-04,21:15:00,66.644
2020-05-04,21:30:00,54.388
2020-05-04,21:45:00,54.084
2020-05-04,22:00:00,59.916
2020-05-04,22:15:00,65.264
2020-05-04,22:30:00,63.752
2020-05-04,22:45:00,69.396
2020-05-04,23:00:00,64.236
2020-05-04,23:15:00,64.932
2020-05-04,23:30:00,57.204
2020-05-04,23:45:00,50.796
2020-05-04,00:00:00,53.508
2020-05-05,00:15:00,72.64
2020-05-05,00:30:00,58.264
2020-05-05,00:45:00,59.036
2020-05-05,01:00:00,40.508
2020-05-05,01:15:00,57.76
2020-05-05,01:30:00,56.836
2020-05-05,01:45:00,53.58
2020-05-05,02:00:00,52.144
2020-05-05,02:15:00,52.696
2020-05-05,02:30:00,54.172
2020-05-05,02:45:00,54.596
2020-05-05,03:00:00,50.292
2020-05-05,03:15:00,56.828
2020-05-05,03:30:00,48.58
2020-05-05,03:45:00,50.564
2020-05-05,04:00:00,41.616
2020-05-05,04:15:00,52.592
2020-05-05,04:30:00,57.092
2020-05-05,04:45:00,54.692
2020-05-05,05:00:00,63.748
2020-05-05,05:15:00,59.116
2020-05-05,05:30:00,60.16
2020-05-05,05:45:00,54.684
2020-05-05,06:00:00,80.656
2020-05-05,06:15:00,75.66
2020-05-05,06:30:00,68.988
2020-05-05,06:45:00,55.232
2020-05-05,07:00:00,43.98
2020-05-05,07:15:00,86.028
2020-05-05,07:30:00,78.952
2020-05-05,07:45:00,88.484
2020-05-05,08:00:00,128.14
2020-05-05,08:15:00,133.9
2020-05-05,08:30:00,139.896
2020-05-05,08:45:00,174.324
2020-05-05,09:00:00,160.272
2020-05-05,09:15:00,169.432
2020-05-05,09:30:00,192.7
2020-05-05,09:45:00,239.38
2020-05-05,10:00:00,238.924
2020-05-05,10:15:00,247.452
2020-05-05,10:30:00,251.016
2020-05-05,10:45:00,241.244
2020-05-05,11:00:00,226.292
2020-05-05,11:15:00,243.872
2020-05-05,11:30:00,263.44
2020-05-05,11:45:00,253.8
2020-05-05,12:00:00,229.352
2020-05-05,12:15:00,221.644
2020-05-05,12:30:00,211.356
2020-05-05,12:45:00,195.94
2020-05-05,13:00:00,177.644
2020-05-05,13:15:00,228.064
2020-05-05,13:30:00,217.1
2020-05-05,13:45:00,233.384
2020-05-05,14:00:00,201.076
2020-05-05,14:15:00,204.876
2020-05-05,14:30:00,190.824
2020-05-05,14:45:00,186.304
2020-05-05,15:00:00,217.072
2020-05-05,15:15:00,185.704
2020-05-05,15:30:00,193.128
2020-05-05,15:45:00,208.596
2020-05-05,16:00:00,202.912
2020-05-05,16:15:00,192.216
2020-05-05,16:30:00,163.492
2020-05-05,16:45:00,180.284
2020-05-05,17:00:00,196.652
2020-05-05,17:15:00,165.676
2020-05-05,17:30:00,187.4
2020-05-05,17:45:00,182.264
2020-05-05,18:00:00,191.96
2020-05-05,18:15:00,181.892
2020-05-05,18:30:00,162.596
2020-05-05,18:45:00,138.904
2020-05-05,19:00:00,102.46
2020-05-05,19:15:00,58.768
2020-05-05,19:30:00,110.248
2020-05-05,19:45:00,110.096
2020-05-05,20:00:00,98.048
2020-05-05,20:15:00,79.88
2020-05-05,20:30:00,61.272
2020-05-05,20:45:00,85.176
2020-05-05,21:00:00,92.112
2020-05-05,21:15:00,122.52
2020-05-05,21:30:00,89.012
2020-05-05,21:45:00,74.476
2020-05-05,22:00:00,98.824
2020-05-05,22:15:00,85.268
2020-05-05,22:30:00,57.232
2020-05-05,22:45:00,76.032
2020-05-05,23:00:00,73.176
2020-05-05,23:15:00,65.616
2020-05-05,23:30:00,58.4
2020-05-05,23:45:00,71.036
2020-05-05,00:00:00,70.16
2020-05-06,00:15:00,69.068
2020-05-06,00:30:00,60.896
2020-05-06,00:45:00,44.972
2020-05-06,01:00:00,59.152
2020-05-06,01:15:00,57.696
2020-05-06,01:30:00,65.324
2020-05-06,01:45:00,62.944
2020-05-06,02:00:00,63.036
2020-05-06,02:15:00,62.392
2020-05-06,02:30:00,60.176
2020-05-06,02:45:00,56.936
2020-05-06,03:00:00,60.144
2020-05-06,03:15:00,57.696
2020-05-06,03:30:00,66.74
2020-05-06,03:45:00,59.276
2020-05-06,04:00:00,70.656
2020-05-06,04:15:00,70.732
2020-05-06,04:30:00,72.636
2020-05-06,04:45:00,69.164
2020-05-06,05:00:00,64.856
2020-05-06,05:15:00,78.264
2020-05-06,05:30:00,82.428
2020-05-06,05:45:00,72.068
2020-05-06,06:00:00,88.336
2020-05-06,06:15:00,70.908
2020-05-06,06:30:00,81.616
2020-05-06,06:45:00,70.772
2020-05-06,07:00:00,28.876
2020-05-06,07:15:00,46.592
2020-05-06,07:30:00,98.42
2020-05-06,07:45:00,120.224
2020-05-06,08:00:00,118.6
2020-05-06,08:15:00,125.352
2020-05-06,08:30:00,149.376
2020-05-06,08:45:00,154.72
2020-05-06,09:00:00,112.728
2020-05-06,09:15:00,138.472
2020-05-06,09:30:00,177.736
2020-05-06,09:45:00,209.04
2020-05-06,10:00:00,211.716
2020-05-06,10:15:00,202.12
2020-05-06,10:30:00,212.36
2020-05-06,10:45:00,246.62
2020-05-06,11:00:00,240.06
2020-05-06,11:15:00,234.24
2020-05-06,11:30:00,253.32
2020-05-06,11:45:00,221.68
2020-05-06,12:00:00,230.452
2020-05-06,12:15:00,218.084
2020-05-06,12:30:00,178.66
2020-05-06,12:45:00,179.156
2020-05-06,13:00:00,189.164
2020-05-06,13:15:00,188.82
2020-05-06,13:30:00,185.18
2020-05-06,13:45:00,197.804
2020-05-06,14:00:00,192.252
2020-05-06,14:15:00,183.072
2020-05-06,14:30:00,198.48
2020-05-06,14:45:00,195.432
2020-05-06,15:00:00,202.624
2020-05-06,15:15:00,164.644
2020-05-06,15:30:00,189.284
2020-05-06,15:45:00,163.816
2020-05-06,16:00:00,170.688
2020-05-06,16:15:00,164.1
2020-05-06,16:30:00,163.532
2020-05-06,16:45:00,164.24
2020-05-06,17:00:00,190.932
2020-05-06,17:15:00,184.912
2020-05-06,17:30:00,186.188
2020-05-06,17:45:00,175.632
2020-05-06,18:00:00,185.588
2020-05-06,18:15:00,135.328
2020-05-06,18:30:00,97.704
2020-05-06,18:45:00,137.352
2020-05-06,19:00:00,131.204
2020-05-06,19:15:00,112.06
2020-05-06,19:30:00,86.844
2020-05-06,19:45:00,73.38
2020-05-06,20:00:00,79.632
2020-05-06,20:15:00,102.668
2020-05-06,20:30:00,112.364
2020-05-06,20:45:00,81.108
2020-05-06,21:00:00,101.524
2020-05-06,21:15:00,94.052
2020-05-06,21:30:00,95.508
2020-05-06,21:45:00,101.368
2020-05-06,22:00:00,94.072
2020-05-06,22:15:00,93.336
2020-05-06,22:30:00,64.144
2020-05-06,22:45:00,54.216
2020-05-06,23:00:00,79.304
2020-05-06,23:15:00,62.328
2020-05-06,23:30:00,57.4
2020-05-06,23:45:00,49.0
2020-05-06,00:00:00,41.756
2020-05-07,00:15:00,77.488
2020-05-07,00:30:00,67.028
2020-05-07,00:45:00,66.612
2020-05-07,01:00:00,70.872
2020-05-07,01:15:00,66.564
2020-05-07,01:30:00,62.932
2020-05-07,01:45:00,58.984
2020-05-07,02:00:00,59.364
2020-05-07,02:15:00,61.952
2020-05-07,02:30:00,61.116
2020-05-07,02:45:00,60.1
2020-05-07,03:00:00,59.332
2020-05-07,03:15:00,59.496
2020-05-07,03:30:00,59.308
2020-05-07,03:45:00,58.82
2020-05-07,04:00:00,55.22
2020-05-07,04:15:00,58.36
2020-05-07,04:30:00,61.684
2020-05-07,04:45:00,53.66
2020-05-07,05:00:00,64.3
2020-05-07,05:15:00,51.136
2020-05-07,05:30:00,68.836
2020-05-07,05:45:00,76.232
2020-05-07,06:00:00,88.16
2020-05-07,06:15:00,86.24
2020-05-07,06:30:00,93.748
2020-05-07,06:45:00,86.908
2020-05-07,07:00:00,69.224
2020-05-07,07:15:00,91.488
2020-05-07,07:30:00,123.548
2020-05-07,07:45:00,136.68
2020-05-07,08:00:00,137.308
2020-05-07,08:15:00,174.384
2020-05-07,08:30:00,152.252
2020-05-07,08:45:00,178.2
2020-05-07,09:00:00,168.856
2020-05-07,09:15:00,210.064
2020-05-07,09:30:00,203.064
2020-05-07,09:45:00,235.004
2020-05-07,10:00:00,232.188
2020-05-07,10:15:00,244.2
2020-05-07,10:30:00,212.44
2020-05-07,10:45:00,226.704
2020-05-07,11:00:00,256.44
2020-05-07,11:15:00,251.248
2020-05-07,11:30:00,254.04
2020-05-07,11:45:00,276.92
2020-05-07,12:00:00,258.544
2020-05-07,12:15:00,215.996
2020-05-07,12:30:00,209.72
2020-05-07,12:45:00,213.404
2020-05-07,13:00:00,218.812
2020-05-07,13:15:00,193.616
2020-05-07,13:30:00,194.384
2020-05-07,13:45:00,188.792
2020-05-07,14:00:00,189.06
2020-05-07,14:15:00,217.848
2020-05-07,14:30:00,179.196
2020-05-07,14:45:00,199.032
2020-05-07,15:00:00,203.232
2020-05-07,15:15:00,195.596
2020-05-07,15:30:00,188.996
2020-05-07,15:45:00,172.608
2020-05-07,16:00:00,161.316
2020-05-07,16:15:00,176.296
2020-05-07,16:30:00,172.796
2020-05-07,16:45:00,200.368
2020-05-07,17:00:00,202.336
2020-05-07,17:15:00,199.252
2020-05-07,17:30:00,204.716
2020-05-07,17:45:00,187.168
2020-05-07,18:00:00,175.608
2020-05-07,18:15:00,179.548
2020-05-07,18:30:00,144.168
2020-05-07,18:45:00,115.856
2020-05-07,19:00:00,103.552
2020-05-07,19:15:00,90.488
2020-05-07,19:30:00,91.22
2020-05-07,19:45:00,91.812
2020-05-07,20:00:00,102.656
2020-05-07,20:15:00,93.676
2020-05-07,20:30:00,104.072
2020-05-07,20:45:00,93.552
2020-05-07,21:00:00,88.74
2020-05-07,21:15:00,90.58
2020-05-07,21:30:00,117.468
2020-05-07,21:45:00,107.432
2020-05-07,22:00:00,64.068
2020-05-07,22:15:00,88.628
2020-05-07,22:30:00,88.988
2020-05-07,22:45:00,87.172
2020-05-07,23:00:00,73.528
2020-05-07,23:15:00,60.256
2020-05-07,23:30:00,64.792
2020-05-07,23:45:00,58.612
2020-05-07,00:00:00,47.7
2020-05-08,00:15:00,52.248
2020-05-08,00:30:00,52.64
2020-05-08,00:45:00,53.088
2020-05-08,01:00:00,54.588
2020-05-08,01:15:00,55.724
2020-05-08,01:30:00,55.4
2020-05-08,01:45:00,51.644
2020-05-08,02:00:00,49.448
2020-05-08,02:15:00,49.72
2020-05-08,02:30:00,42.2
2020-05-08,02:45:00,50.744
2020-05-08,03:00:00,50.352
2020-05-08,03:15:00,44.308
2020-05-08,03:30:00,45.396
2020-05-08,03:45:00,50.86
2020-05-08,04:00:00,54.36
2020-05-08,04:15:00,51.468
2020-05-08,04:30:00,50.22
2020-05-08,04:45:00,61.58
2020-05-08,05:00:00,57.532
2020-05-08,05:15:00,63.792
2020-05-08,05:30:00,60.404
2020-05-08,05:45:00,59.416
2020-05-08,06:00:00,70.664
2020-05-08,06:15:00,66.256
2020-05-08,06:30:00,36.604
2020-05-08,06:45:00,58.7
2020-05-08,07:00:00,35.224
2020-05-08,07:15:00,65.112
2020-05-08,07:30:00,81.64
2020-05-08,07:45:00,92.184
2020-05-08,08:00:00,111.208
2020-05-08,08:15:00,99.636
2020-05-08,08:30:00,144.98
2020-05-08,08:45:00,156.04
2020-05-08,09:00:00,185.072
2020-05-08,09:15:00,174.132
2020-05-08,09:30:00,142.592
2020-05-08,09:45:00,164.2
2020-05-08,10:00:00,180.428
2020-05-08,10:15:00,192.944
2020-05-08,10:30:00,209.82
2020-05-08,10:45:00,190.476
2020-05-08,11:00:00,204.744
2020-05-08,11:15:00,211.216
2020-05-08,11:30:00,221.632
2020-05-08,11:45:00,191.884
2020-05-08,12:00:00,201.148
2020-05-08,12:15:00,173.34
2020-05-08,12:30:00,144.732
2020-05-08,12:45:00,163.02
2020-05-08,13:00:00,167.876
2020-05-08,13:15:00,158.608
2020-05-08,13:30:00,154.096
2020-05-08,13:45:00,158.188
2020-05-08,14:00:00,158.192
2020-05-08,14:15:00,140.208
