,time,power in kW
2020-05-01,00:15:00,83.368
2020-05-01,00:30:00,79.052
2020-05-01,00:45:00,76.924
2020-05-01,01:00:00,69.32
2020-05-01,01:15:00,67.428
2020-05-01,01:30:00,65.472
2020-05-01,01:45:00,65.264
2020-05-01,02:00:00,62.852
2020-05-01,02:15:00,62.216
2020-05-01,02:30:00,61.296
2020-05-01,02:45:00,62.412
2020-05-01,03:00:00,61.76
2020-05-01,03:15:00,63.276
2020-05-01,03:30:00,60.9
2020-05-01,03:45:00,60.54
2020-05-01,04:00:00,58.376
2020-05-01,04:15:00,58.416
2020-05-01,04:30:00,57.672
2020-05-01,04:45:00,59.108
2020-05-01,05:00:00,56.896
2020-05-01,05:15:00,58.984
2020-05-01,05:30:00,61.744
2020-05-01,05:45:00,63.644
2020-05-01,06:00:00,64.604
2020-05-01,06:15:00,66.264
2020-05-01,06:30:00,66.796
2020-05-01,06:45:00,66.6
2020-05-01,07:00:00,75.032
2020-05-01,07:15:00,76.696
2020-05-01,07:30:00,83.712
2020-05-01,07:45:00,88.328
2020-05-01,08:00:00,101.964
2020-05-01,08:15:00,107.012
2020-05-01,08:30:00,121.94
2020-05-01,08:45:00,121.564
2020-05-01,09:00:00,128.02
2020-05-01,09:15:00,138.088
2020-05-01,09:30:00,141.7
2020-05-01,09:45:00,143.292
2020-05-01,10:00:00,143.272
2020-05-01,10:15:00,151.308
2020-05-01,10:30:00,157.752
2020-05-01,10:45:00,161.744
2020-05-01,11:00:00,156.944
2020-05-01,11:15:00,170.548
2020-05-01,11:30:00,168.188
2020-05-01,11:45:00,168.54
2020-05-01,12:00:00,170.38
2020-05-01,12:15:00,170.576
2020-05-01,12:30:00,172.24
2020-05-01,12:45:00,165.948
2020-05-01,13:00:00,176.496
2020-05-01,13:15:00,158.64
2020-05-01,13:30:00,151.764
2020-05-01,13:45:00,151.508
2020-05-01,14:00:00,148.644
2020-05-01,14:15:00,149.548
2020-05-01,14:30:00,146.172
2020-05-01,14:45:00,137.332
2020-05-01,15:00:00,131.272
2020-05-01,15:15:00,129.364
2020-05-01,15:30:00,130.612
2020-05-01,15:45:00,129.548
2020-05-01,16:00:00,127.348
2020-05-01,16:15:00,131.028
2020-05-01,16:30:00,134.488
2020-05-01,16:45:00,128.824
2020-05-01,17:00:00,128.412
2020-05-01,17:15:00,138.092
2020-05-01,17:30:00,139.74
2020-05-01,17:45:00,145.196
2020-05-01,18:00:00,158.608
2020-05-01,18:15:00,153.036
2020-05-01,18:30:00,156.632
2020-05-01,18:45:00,158.504
2020-05-01,19:00:00,152.252
2020-05-01,19:15:00,144.168
2020-05-01,19:30:00,145.872
2020-05-01,19:45:00,152.216
2020-05-01,20:00:00,154.232
2020-05-01,20:15:00,141.288
2020-05-01,20:30:00,154.036
2020-05-01,20:45:00,153.68
